,Itemcode,Item Description,Brand,Pack-size,Vendor ID,Receive Date,PO Number,PO Line #,Ordered Quantity,Order UOM,Received Quantity,Rec. UOM,Weight (LB),Variance (Quantity),Estimate Inventory Cost,Actual Inventory Cost,Variance (Inventory Cost),Estimate Add-on Cost,Actual Add-on Cost,Variance (Add-on Cost),Price per Case ($)
411,APPE10,Apple McIntosh ECO 120s,,,LYM,09/21/2015,2624,3,11,CS,11,CS,0.0,0.0,220.0,220.0,0.0,75.26,75.26,0.0,20.0
412,APPE10,Apple McIntosh ECO 120s,,,LYM,09/23/2015,2650,5,14,CS,14,CS,0.0,0.0,280.0,280.0,0.0,68.17,68.17,0.0,20.0
413,APPE10,Apple McIntosh ECO 120s,,,LYM,09/25/2015,2674,10,2,CS,2,CS,0.0,0.0,40.0,40.0,0.0,16.17,16.17,0.0,20.0
414,APPE10,Apple McIntosh ECO 120s,,,LYM,09/30/2015,2709,6,1,CS,1,CS,0.0,0.0,20.0,20.0,0.0,6.95,6.95,0.0,20.0
415,APPE10,Apple McIntosh ECO 120s,,,LYM,09/30/2015,2709,12,2,CS,2,CS,0.0,0.0,40.0,40.0,0.0,13.89,13.89,0.0,20.0
416,APPE10,Apple McIntosh ECO 120s,,,LYM,10/05/2015,2761,10,8,CS,8,CS,0.0,0.0,160.0,160.0,0.0,0.68,0.68,0.0,20.0
417,APPE10,Apple McIntosh ECO 120s,,,LYM,10/21/2015,2918,1,10,CS,10,CS,0.0,0.0,200.0,200.0,0.0,86.17,86.17,0.0,20.0
418,APPE10,Apple McIntosh ECO 120s,,,LYM,10/23/2015,2938,1,6,CS,6,CS,0.0,0.0,120.0,120.0,0.0,51.43,51.43,0.0,20.0
419,APPE10,Apple McIntosh ECO 120s,,,LYM,10/26/2015,2950,2,7,CS,7,CS,0.0,0.0,140.0,140.0,0.0,66.32,66.32,0.0,20.0
421,APPE10,Apple McIntosh ECO 120s,,,LYM,09/14/2016,4105,8,20,CS,20,CS,0.0,0.0,550.0,550.0,0.0,137.36,137.36,0.0,27.5
422,APPE10,Apple McIntosh ECO 120s,,,LYM,09/16/2016,4122,1,20,CS,20,CS,0.0,0.0,550.0,550.0,0.0,120.17,120.17,0.0,27.5
423,APPE10,Apple McIntosh ECO 120s,,,LYM,09/19/2016,4147,1,15,CS,17,CS,0.0,13.33,467.5,467.5,0.0,92.86,92.86,0.0,27.5
424,APPE10,Apple McIntosh ECO 120s,,,LYM,09/21/2016,4167,1,14,CS,14,CS,0.0,0.0,385.0,385.0,0.0,95.63,95.63,0.0,27.5
425,APPE10,Apple McIntosh ECO 120s,,,LYM,09/23/2016,4194,1,12,CS,12,CS,0.0,0.0,330.0,330.0,0.0,41.91,41.91,0.0,27.5
426,APPE10,Apple McIntosh ECO 120s,,,LYM,09/23/2016,4221,1,1,CS,1,CS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,APPE10,Apple McIntosh ECO 120s,,,LYM,09/26/2016,4201,1,17,CS,17,CS,0.0,0.0,467.5,467.5,0.0,182.67,182.67,0.0,27.5
428,APPE10,Apple McIntosh ECO 120s,,,LYM,09/28/2016,4209,7,7,CS,7,CS,0.0,0.0,192.5,192.5,0.0,39.96,39.96,0.0,27.5
429,APPE10,Apple McIntosh ECO 120s,,,LYM,09/30/2016,4248,1,14,CS,14,CS,0.0,0.0,385.0,385.0,0.0,151.51,151.51,0.0,27.5
430,APPE10,Apple McIntosh ECO 120s,,,LYM,10/03/2016,4269,3,6,CS,6,CS,0.0,0.0,165.0,165.0,0.0,95.37,95.37,0.0,27.5
431,APPE10,Apple McIntosh ECO 120s,,,LYM,10/05/2016,4289,1,8,CS,9,CS,0.0,12.5,247.5,247.5,0.0,67.08,67.08,0.0,27.5
432,APPE10,Apple McIntosh ECO 120s,,,LYM,10/07/2016,4309,1,6,CS,6,CS,0.0,0.0,165.0,165.0,0.0,62.61,62.61,0.0,27.5
433,APPE10,Apple McIntosh ECO 120s,,,LYM,10/10/2016,4326,1,8,CS,8,CS,0.0,0.0,228.0,228.0,0.0,89.65,89.65,0.0,28.5
434,APPE10,Apple McIntosh ECO 120s,,,LYM,10/12/2016,4345,15,13,CS,13,CS,0.0,0.0,370.5,370.5,0.0,182.69,182.69,0.0,28.5
435,APPE10,Apple McIntosh ECO 120s,,,LYM,10/14/2016,4355,1,3,CS,3,CS,0.0,0.0,79.5,79.5,0.0,35.33,35.33,0.0,26.5
436,APPE10,Apple McIntosh ECO 120s,,,LYM,10/17/2016,4367,1,8,CS,8,CS,0.0,0.0,212.0,212.0,0.0,72.18,72.18,0.0,26.5
437,APPE10,Apple McIntosh ECO 120s,,,LYM,10/19/2016,4374,2,6,CS,6,CS,0.0,0.0,159.0,159.0,0.0,2.24,2.24,0.0,26.5
438,APPE10,Apple McIntosh ECO 120s,,,LYM,10/21/2016,4391,1,7,CS,7,CS,0.0,0.0,178.5,178.5,0.0,16.68,16.68,0.0,25.5
439,APPE10,Apple McIntosh ECO 120s,,,LYM,10/26/2016,4423,2,11,CS,11,CS,0.0,0.0,302.5,302.5,0.0,82.83,82.83,0.0,27.5
440,APPE10,Apple McIntosh ECO 120s,,,LYM,10/28/2016,4441,1,3,CS,3,CS,0.0,0.0,82.5,82.5,0.0,39.02,39.02,0.0,27.5
441,APPE10,Apple McIntosh ECO 120s,,,LYM,10/31/2016,4456,12,6,CS,6,CS,0.0,0.0,165.0,165.0,0.0,56.46,56.46,0.0,27.5
